Time (ms),PPF (%)
5.97556,120.63252
6.04966,117.16491
6.12376,114.43625
6.19786,112.28905
6.27195,110.59941
6.34605,109.26983
6.42015,108.22358
6.49425,107.40028
6.56835,106.75242
6.64245,106.24262
6.71655,105.84146
6.79064,105.52578
6.86474,105.27737
6.93884,105.0819
7.01294,104.92808
7.08704,104.80704
7.16114,104.7118
7.23524,104.63685
7.30933,104.57787
7.38343,104.53146
7.45753,104.49494
7.53163,104.4662
7.60573,104.44359
7.67983,104.42579
7.75392,104.41179
7.82802,104.40077
7.90212,104.3921
7.97361,104.38549
7.97622,104.38528
8.05032,104.37991
8.12442,104.37568
8.19852,104.37236
8.27261,104.36974
8.34671,104.36768
8.42081,104.36606
8.49491,104.36479
8.56901,104.36378
8.64311,104.36299
8.71721,104.36237
8.7913,104.36188
8.8654,104.3615
8.9395,104.3612
9.0136,104.36096
9.0877,104.36077
9.1618,104.36062
9.2359,104.36051
9.30999,104.36042
